sentence,prompt
Wrexham 2 0 2 0 5 5 2,"TL;DR , Wrexham is an organization entity ."
"NORTHAMPTON "","" England 1996-08-31","TL;DR , England is a location entity ."
"NORTHAMPTON "","" England 1996-08-31","TL;DR , NORTHAMPTON "","" England 1996-08-31 is not a named entity ."
"NORTHAMPTON "","" England 1996-08-31","TL;DR , NORTHAMPTON "","" is not a named entity ."
"NORTHAMPTON "","" England 1996-08-31","TL;DR , 1996-08-31 is not a named entity ."
"NORTHAMPTON "","" England 1996-08-31","TL;DR , "","" England is not a named entity ."
""""""""" Abu Ammar ( Arafat ) is right .","TL;DR , Abu Ammar is a person entity ."
""""""""" Abu Ammar ( Arafat ) is right .","TL;DR , Arafat is a person entity ."
""""""""" Abu Ammar ( Arafat ) is right .","TL;DR , """""""" Abu Ammar ( Arafat ) is not a named entity ."
""""""""" Abu Ammar ( Arafat ) is right .","TL;DR , """""""" is not a named entity ."
""""""""" Abu Ammar ( Arafat ) is right .","TL;DR , . is not a named entity ."
""""""""" Abu Ammar ( Arafat ) is right .","TL;DR , Abu is not a named entity ."
The hijack began on Monday when an Amman-bound plane was taken over shortly after it took off from Khartoum .,"TL;DR , Amman-bound is an other entity ."
The hijack began on Monday when an Amman-bound plane was taken over shortly after it took off from Khartoum .,"TL;DR , Khartoum is a location entity ."
The hijack began on Monday when an Amman-bound plane was taken over shortly after it took off from Khartoum .,"TL;DR , taken over shortly after it is not a named entity ."
The hijack began on Monday when an Amman-bound plane was taken over shortly after it took off from Khartoum .,"TL;DR , began is not a named entity ."
The hijack began on Monday when an Amman-bound plane was taken over shortly after it took off from Khartoum .,"TL;DR , The hijack began on Monday when an is not a named entity ."
The hijack began on Monday when an Amman-bound plane was taken over shortly after it took off from Khartoum .,"TL;DR , Monday when is not a named entity ."
""""""""" We had to build our own earth shelters to survive the fighting "","" """""""" said Rajab Adinayev "","" a bearded elderly Tajik in a long white shirt .","TL;DR , Rajab Adinayev is a person entity ."
""""""""" We had to build our own earth shelters to survive the fighting "","" """""""" said Rajab Adinayev "","" a bearded elderly Tajik in a long white shirt .","TL;DR , Tajik is an other entity ."
""""""""" We had to build our own earth shelters to survive the fighting "","" """""""" said Rajab Adinayev "","" a bearded elderly Tajik in a long white shirt .","TL;DR , "","" a bearded elderly Tajik in a is not a named entity ."
""""""""" We had to build our own earth shelters to survive the fighting "","" """""""" said Rajab Adinayev "","" a bearded elderly Tajik in a long white shirt .","TL;DR , to survive is not a named entity ."
""""""""" We had to build our own earth shelters to survive the fighting "","" """""""" said Rajab Adinayev "","" a bearded elderly Tajik in a long white shirt .","TL;DR , """""""" said Rajab Adinayev "","" is not a named entity ."
""""""""" We had to build our own earth shelters to survive the fighting "","" """""""" said Rajab Adinayev "","" a bearded elderly Tajik in a long white shirt .","TL;DR , elderly Tajik in a long white shirt . is not a named entity ."
Jed-Forest 17 Watsonians 54,"TL;DR , Jed-Forest is an organization entity ."
Jed-Forest 17 Watsonians 54,"TL;DR , Watsonians is an organization entity ."
Jed-Forest 17 Watsonians 54,"TL;DR , Jed-Forest 17 Watsonians 54 is not a named entity ."
Jed-Forest 17 Watsonians 54,"TL;DR , Jed-Forest 17 is not a named entity ."
Jed-Forest 17 Watsonians 54,"TL;DR , Jed-Forest 17 Watsonians is not a named entity ."
Jed-Forest 17 Watsonians 54,"TL;DR , 17 is not a named entity ."
Suu Kyi said the government had increased its repression tactics on the democracy movement because it feared the growing popularity of the movement .,"TL;DR , Suu Kyi is a person entity ."
Suu Kyi said the government had increased its repression tactics on the democracy movement because it feared the growing popularity of the movement .,"TL;DR , repression tactics on the democracy movement because it is not a named entity ."
Suu Kyi said the government had increased its repression tactics on the democracy movement because it feared the growing popularity of the movement .,"TL;DR , it feared the growing popularity of the movement is not a named entity ."
"Benes ( 12-8 ) allowed three runs "","" walked three and struck out three for the win .","TL;DR , Benes is a person entity ."
"Benes ( 12-8 ) allowed three runs "","" walked three and struck out three for the win .","TL;DR , ) is not a named entity ."
"Benes ( 12-8 ) allowed three runs "","" walked three and struck out three for the win .","TL;DR , runs "","" walked is not a named entity ."
"Iranian troops on Saturday entered Kurdish-controlled northern Iraq in the wake of an assault backed by Baghdad into the region "","" an Iraqi Kurdish group told Reuters .","TL;DR , Iranian is an other entity ."
"Iranian troops on Saturday entered Kurdish-controlled northern Iraq in the wake of an assault backed by Baghdad into the region "","" an Iraqi Kurdish group told Reuters .","TL;DR , Kurdish-controlled is an other entity ."
"Iranian troops on Saturday entered Kurdish-controlled northern Iraq in the wake of an assault backed by Baghdad into the region "","" an Iraqi Kurdish group told Reuters .","TL;DR , Iraq is a location entity ."
"Iranian troops on Saturday entered Kurdish-controlled northern Iraq in the wake of an assault backed by Baghdad into the region "","" an Iraqi Kurdish group told Reuters .","TL;DR , Baghdad is a location entity ."
"Iranian troops on Saturday entered Kurdish-controlled northern Iraq in the wake of an assault backed by Baghdad into the region "","" an Iraqi Kurdish group told Reuters .","TL;DR , Iraqi Kurdish is an other entity ."
"Iranian troops on Saturday entered Kurdish-controlled northern Iraq in the wake of an assault backed by Baghdad into the region "","" an Iraqi Kurdish group told Reuters .","TL;DR , Reuters is an organization entity ."
"Iranian troops on Saturday entered Kurdish-controlled northern Iraq in the wake of an assault backed by Baghdad into the region "","" an Iraqi Kurdish group told Reuters .","TL;DR , into the region "","" an Iraqi Kurdish group is not a named entity ."
"Iranian troops on Saturday entered Kurdish-controlled northern Iraq in the wake of an assault backed by Baghdad into the region "","" an Iraqi Kurdish group told Reuters .","TL;DR , Iranian troops is not a named entity ."
"Iranian troops on Saturday entered Kurdish-controlled northern Iraq in the wake of an assault backed by Baghdad into the region "","" an Iraqi Kurdish group told Reuters .","TL;DR , of an assault backed is not a named entity ."
"Iranian troops on Saturday entered Kurdish-controlled northern Iraq in the wake of an assault backed by Baghdad into the region "","" an Iraqi Kurdish group told Reuters .","TL;DR , on Saturday entered Kurdish-controlled northern Iraq is not a named entity ."
"Iranian troops on Saturday entered Kurdish-controlled northern Iraq in the wake of an assault backed by Baghdad into the region "","" an Iraqi Kurdish group told Reuters .","TL;DR , group told Reuters . is not a named entity ."
"Iranian troops on Saturday entered Kurdish-controlled northern Iraq in the wake of an assault backed by Baghdad into the region "","" an Iraqi Kurdish group told Reuters .","TL;DR , wake of an is not a named entity ."
"Iranian troops on Saturday entered Kurdish-controlled northern Iraq in the wake of an assault backed by Baghdad into the region "","" an Iraqi Kurdish group told Reuters .","TL;DR , an assault backed by Baghdad into the region is not a named entity ."
"Iranian troops on Saturday entered Kurdish-controlled northern Iraq in the wake of an assault backed by Baghdad into the region "","" an Iraqi Kurdish group told Reuters .","TL;DR , Baghdad into the region "","" an Iraqi is not a named entity ."
"Iranian troops on Saturday entered Kurdish-controlled northern Iraq in the wake of an assault backed by Baghdad into the region "","" an Iraqi Kurdish group told Reuters .","TL;DR , backed by Baghdad into the is not a named entity ."
"Iranian troops on Saturday entered Kurdish-controlled northern Iraq in the wake of an assault backed by Baghdad into the region "","" an Iraqi Kurdish group told Reuters .","TL;DR , Kurdish group told is not a named entity ."
"Iranian troops on Saturday entered Kurdish-controlled northern Iraq in the wake of an assault backed by Baghdad into the region "","" an Iraqi Kurdish group told Reuters .","TL;DR , in the wake of an assault is not a named entity ."
"Iranian troops on Saturday entered Kurdish-controlled northern Iraq in the wake of an assault backed by Baghdad into the region "","" an Iraqi Kurdish group told Reuters .","TL;DR , an Iraqi Kurdish group told Reuters . is not a named entity ."
Lebed said he and Maskhadov agreed to defer by more than five years the painful issue of Chechnya 's political status .,"TL;DR , Lebed is a person entity ."
Lebed said he and Maskhadov agreed to defer by more than five years the painful issue of Chechnya 's political status .,"TL;DR , Maskhadov is a person entity ."
Lebed said he and Maskhadov agreed to defer by more than five years the painful issue of Chechnya 's political status .,"TL;DR , Chechnya is a location entity ."
Lebed said he and Maskhadov agreed to defer by more than five years the painful issue of Chechnya 's political status .,"TL;DR , political is not a named entity ."
Lebed said he and Maskhadov agreed to defer by more than five years the painful issue of Chechnya 's political status .,"TL;DR , of is not a named entity ."
Lebed said he and Maskhadov agreed to defer by more than five years the painful issue of Chechnya 's political status .,"TL;DR , agreed to defer by is not a named entity ."
Lebed said he and Maskhadov agreed to defer by more than five years the painful issue of Chechnya 's political status .,"TL;DR , five years the painful issue of Chechnya is not a named entity ."
Lebed said he and Maskhadov agreed to defer by more than five years the painful issue of Chechnya 's political status .,"TL;DR , painful issue is not a named entity ."
Lebed said he and Maskhadov agreed to defer by more than five years the painful issue of Chechnya 's political status .,"TL;DR , painful issue of Chechnya 's political is not a named entity ."
BASEBALL - MAJOR LEAGUE STANDINGS AFTER THURSDAY 'S GAMES .,"TL;DR , MAJOR LEAGUE is an other entity ."
BASEBALL - MAJOR LEAGUE STANDINGS AFTER THURSDAY 'S GAMES .,"TL;DR , BASEBALL - MAJOR LEAGUE STANDINGS is not a named entity ."
BASEBALL - MAJOR LEAGUE STANDINGS AFTER THURSDAY 'S GAMES .,"TL;DR , BASEBALL - MAJOR LEAGUE STANDINGS AFTER THURSDAY 'S is not a named entity ."
Oxford 4 1 0 3 6 5 3,"TL;DR , Oxford is an organization entity ."
Oxford 4 1 0 3 6 5 3,"TL;DR , 0 3 is not a named entity ."
Oxford 4 1 0 3 6 5 3,"TL;DR , 5 is not a named entity ."
1. Jonathan Edwards ( Britain ) 17.69 metres,"TL;DR , Jonathan Edwards is a person entity ."
1. Jonathan Edwards ( Britain ) 17.69 metres,"TL;DR , Britain is a location entity ."
1. Jonathan Edwards ( Britain ) 17.69 metres,"TL;DR , metres is not a named entity ."
1. Jonathan Edwards ( Britain ) 17.69 metres,"TL;DR , Britain ) 17.69 is not a named entity ."
1. Jonathan Edwards ( Britain ) 17.69 metres,"TL;DR , ) 17.69 metres is not a named entity ."
1. Jonathan Edwards ( Britain ) 17.69 metres,"TL;DR , Jonathan Edwards ( Britain is not a named entity ."
"VENICE "","" Italy 1996-08-31","TL;DR , Italy is a location entity ."
"VENICE "","" Italy 1996-08-31","TL;DR , "","" is not a named entity ."
"VENICE "","" Italy 1996-08-31","TL;DR , "","" Italy is not a named entity ."
Hull 4 2 2 0 4 2 8,"TL;DR , Hull is an organization entity ."
Hull 4 2 2 0 4 2 8,"TL;DR , 4 2 2 0 4 2 8 is not a named entity ."
Hull 4 2 2 0 4 2 8,"TL;DR , 4 2 2 is not a named entity ."
Cunningham played his entire 11-year career with the Philadelphia Eagles .,"TL;DR , Cunningham is a person entity ."
Cunningham played his entire 11-year career with the Philadelphia Eagles .,"TL;DR , Philadelphia Eagles is an organization entity ."
Cunningham played his entire 11-year career with the Philadelphia Eagles .,"TL;DR , the Philadelphia Eagles is not a named entity ."
Cunningham played his entire 11-year career with the Philadelphia Eagles .,"TL;DR , Cunningham played his is not a named entity ."
Cunningham played his entire 11-year career with the Philadelphia Eagles .,"TL;DR , entire 11-year career is not a named entity ."
Cunningham played his entire 11-year career with the Philadelphia Eagles .,"TL;DR , the Philadelphia Eagles . is not a named entity ."
""""""""" There were three or four people who could have done it but when I spoke to Alan he was up for it and really wanted it .","TL;DR , Alan is a person entity ."
""""""""" There were three or four people who could have done it but when I spoke to Alan he was up for it and really wanted it .","TL;DR , or four is not a named entity ."
""""""""" There were three or four people who could have done it but when I spoke to Alan he was up for it and really wanted it .","TL;DR , he was up for it and is not a named entity ."
"They scored three tries in recording their highest total against New Zealand "","" salvaging some pride in a season in which the world champions have lost five out of eight tests .","TL;DR , New Zealand is a location entity ."
"They scored three tries in recording their highest total against New Zealand "","" salvaging some pride in a season in which the world champions have lost five out of eight tests .","TL;DR , They scored three tries in is not a named entity ."
"They scored three tries in recording their highest total against New Zealand "","" salvaging some pride in a season in which the world champions have lost five out of eight tests .","TL;DR , eight tests . is not a named entity ."
"Ironically "","" Karbacher two years ago ended Ivan Lendl 's Grand Slam career here when the former champion had to retire in the middle of their first-round match .","TL;DR , Karbacher is a person entity ."
"Ironically "","" Karbacher two years ago ended Ivan Lendl 's Grand Slam career here when the former champion had to retire in the middle of their first-round match .","TL;DR , Ivan Lendl is a person entity ."
"Ironically "","" Karbacher two years ago ended Ivan Lendl 's Grand Slam career here when the former champion had to retire in the middle of their first-round match .","TL;DR , Grand Slam is an other entity ."
"Ironically "","" Karbacher two years ago ended Ivan Lendl 's Grand Slam career here when the former champion had to retire in the middle of their first-round match .","TL;DR , ended Ivan Lendl 's Grand Slam career is not a named entity ."
"Ironically "","" Karbacher two years ago ended Ivan Lendl 's Grand Slam career here when the former champion had to retire in the middle of their first-round match .","TL;DR , years is not a named entity ."
"Ironically "","" Karbacher two years ago ended Ivan Lendl 's Grand Slam career here when the former champion had to retire in the middle of their first-round match .","TL;DR , in the middle is not a named entity ."
"Ironically "","" Karbacher two years ago ended Ivan Lendl 's Grand Slam career here when the former champion had to retire in the middle of their first-round match .","TL;DR , retire in the middle is not a named entity ."
"Ironically "","" Karbacher two years ago ended Ivan Lendl 's Grand Slam career here when the former champion had to retire in the middle of their first-round match .","TL;DR , years ago ended Ivan Lendl 's is not a named entity ."
"Ironically "","" Karbacher two years ago ended Ivan Lendl 's Grand Slam career here when the former champion had to retire in the middle of their first-round match .","TL;DR , ended Ivan Lendl 's is not a named entity ."
A. Hollioake run out 15,"TL;DR , A. Hollioake is a person entity ."
A. Hollioake run out 15,"TL;DR , run out 15 is not a named entity ."
A. Hollioake run out 15,"TL;DR , run out is not a named entity ."
2. Jearl Miles ( U.S. ) 50.42,"TL;DR , Jearl Miles is a person entity ."
2. Jearl Miles ( U.S. ) 50.42,"TL;DR , U.S. is a location entity ."
2. Jearl Miles ( U.S. ) 50.42,"TL;DR , Jearl Miles ( U.S. is not a named entity ."
2. Jearl Miles ( U.S. ) 50.42,"TL;DR , 2. Jearl Miles ( is not a named entity ."
2. Jearl Miles ( U.S. ) 50.42,"TL;DR , U.S. ) 50.42 is not a named entity ."
2. Jearl Miles ( U.S. ) 50.42,"TL;DR , ( U.S. ) is not a named entity ."
7. Frank Busemann ( Germany ) 13.58,"TL;DR , Frank Busemann is a person entity ."
7. Frank Busemann ( Germany ) 13.58,"TL;DR , Germany is a location entity ."
7. Frank Busemann ( Germany ) 13.58,"TL;DR , Germany ) 13.58 is not a named entity ."
7. Frank Busemann ( Germany ) 13.58,"TL;DR , ( is not a named entity ."
7. Frank Busemann ( Germany ) 13.58,"TL;DR , 7. Frank Busemann ( Germany ) 13.58 is not a named entity ."
7. Frank Busemann ( Germany ) 13.58,"TL;DR , 7. is not a named entity ."
York 4 2 0 2 6 6 6,"TL;DR , York is an organization entity ."
York 4 2 0 2 6 6 6,"TL;DR , York 4 is not a named entity ."
York 4 2 0 2 6 6 6,"TL;DR , 6 6 6 is not a named entity ."
"And Israeli checkpoints have circled Jerusalem since 1993 "","" a concrete and constant reminder of Israel 's hold on a city it considers its eternal capital .","TL;DR , Israeli is an other entity ."
"And Israeli checkpoints have circled Jerusalem since 1993 "","" a concrete and constant reminder of Israel 's hold on a city it considers its eternal capital .","TL;DR , Jerusalem is a location entity ."
"And Israeli checkpoints have circled Jerusalem since 1993 "","" a concrete and constant reminder of Israel 's hold on a city it considers its eternal capital .","TL;DR , Israel is a location entity ."
"And Israeli checkpoints have circled Jerusalem since 1993 "","" a concrete and constant reminder of Israel 's hold on a city it considers its eternal capital .","TL;DR , And Israeli checkpoints have circled Jerusalem is not a named entity ."
"And Israeli checkpoints have circled Jerusalem since 1993 "","" a concrete and constant reminder of Israel 's hold on a city it considers its eternal capital .","TL;DR , on a city it is not a named entity ."
"And Israeli checkpoints have circled Jerusalem since 1993 "","" a concrete and constant reminder of Israel 's hold on a city it considers its eternal capital .","TL;DR , Israeli checkpoints is not a named entity ."
"And Israeli checkpoints have circled Jerusalem since 1993 "","" a concrete and constant reminder of Israel 's hold on a city it considers its eternal capital .","TL;DR , city it is not a named entity ."
"And Israeli checkpoints have circled Jerusalem since 1993 "","" a concrete and constant reminder of Israel 's hold on a city it considers its eternal capital .","TL;DR , eternal capital is not a named entity ."
"And Israeli checkpoints have circled Jerusalem since 1993 "","" a concrete and constant reminder of Israel 's hold on a city it considers its eternal capital .","TL;DR , Israel 's hold on a is not a named entity ."
Baseball-Results of S. Korean pro-baseball games .,"TL;DR , S. Korean is an other entity ."
Baseball-Results of S. Korean pro-baseball games .,"TL;DR , of S. Korean pro-baseball games . is not a named entity ."
Baseball-Results of S. Korean pro-baseball games .,"TL;DR , Baseball-Results of S. Korean pro-baseball is not a named entity ."
"... The view of the U.S. government on ( Farrakhan 's ) not accepting any gifts from Libya is well-known . """"""""","TL;DR , U.S. is a location entity ."
"... The view of the U.S. government on ( Farrakhan 's ) not accepting any gifts from Libya is well-known . """"""""","TL;DR , Farrakhan is a person entity ."
"... The view of the U.S. government on ( Farrakhan 's ) not accepting any gifts from Libya is well-known . """"""""","TL;DR , Libya is a location entity ."
"... The view of the U.S. government on ( Farrakhan 's ) not accepting any gifts from Libya is well-known . """"""""","TL;DR , well-known . is not a named entity ."
"... The view of the U.S. government on ( Farrakhan 's ) not accepting any gifts from Libya is well-known . """"""""","TL;DR , U.S. government on ( Farrakhan is not a named entity ."
"... The view of the U.S. government on ( Farrakhan 's ) not accepting any gifts from Libya is well-known . """"""""","TL;DR , ) not accepting any gifts from Libya is is not a named entity ."
"... The view of the U.S. government on ( Farrakhan 's ) not accepting any gifts from Libya is well-known . """"""""","TL;DR , on ( Farrakhan 's ) is not a named entity ."
"... The view of the U.S. government on ( Farrakhan 's ) not accepting any gifts from Libya is well-known . """"""""","TL;DR , 's ) not accepting any gifts from is not a named entity ."
"... The view of the U.S. government on ( Farrakhan 's ) not accepting any gifts from Libya is well-known . """"""""","TL;DR , accepting any gifts from Libya is not a named entity ."
"The next morning "","" Ivankov appeared in the courtroom and stabbed Lavrentyeva .","TL;DR , Ivankov is a person entity ."
"The next morning "","" Ivankov appeared in the courtroom and stabbed Lavrentyeva .","TL;DR , Lavrentyeva is a person entity ."
"The next morning "","" Ivankov appeared in the courtroom and stabbed Lavrentyeva .","TL;DR , morning "","" Ivankov appeared in is not a named entity ."
"The next morning "","" Ivankov appeared in the courtroom and stabbed Lavrentyeva .","TL;DR , and stabbed Lavrentyeva is not a named entity ."
"The next morning "","" Ivankov appeared in the courtroom and stabbed Lavrentyeva .","TL;DR , Ivankov appeared in the courtroom and is not a named entity ."
"The next morning "","" Ivankov appeared in the courtroom and stabbed Lavrentyeva .","TL;DR , The next morning "","" Ivankov appeared is not a named entity ."
Colchester 1 Hereford 1,"TL;DR , Colchester is an organization entity ."
Colchester 1 Hereford 1,"TL;DR , Hereford is an organization entity ."
Colchester 1 Hereford 1,"TL;DR , 1 Hereford is not a named entity ."
Colchester 1 Hereford 1,"TL;DR , 1 is not a named entity ."
Colchester 1 Hereford 1,"TL;DR , Colchester 1 is not a named entity ."
Colchester 1 Hereford 1,"TL;DR , Colchester 1 Hereford is not a named entity ."
"I 'll take it "","" """""""" Edberg "","" who has announced that this will be his last Grand Slam event "","" said of the 3-6 6-3 6-3 1-0 victory .","TL;DR , Edberg is a person entity ."
"I 'll take it "","" """""""" Edberg "","" who has announced that this will be his last Grand Slam event "","" said of the 3-6 6-3 6-3 1-0 victory .","TL;DR , Grand Slam is an other entity ."
"I 'll take it "","" """""""" Edberg "","" who has announced that this will be his last Grand Slam event "","" said of the 3-6 6-3 6-3 1-0 victory .","TL;DR , will be his last Grand Slam event is not a named entity ."
"I 'll take it "","" """""""" Edberg "","" who has announced that this will be his last Grand Slam event "","" said of the 3-6 6-3 6-3 1-0 victory .","TL;DR , announced is not a named entity ."
"I 'll take it "","" """""""" Edberg "","" who has announced that this will be his last Grand Slam event "","" said of the 3-6 6-3 6-3 1-0 victory .","TL;DR , this will be his is not a named entity ."
"I 'll take it "","" """""""" Edberg "","" who has announced that this will be his last Grand Slam event "","" said of the 3-6 6-3 6-3 1-0 victory .","TL;DR , 6-3 1-0 is not a named entity ."
"Netherlands - Ronald de Boer ( 52nd minute ) "","" Van Gastel","TL;DR , Netherlands is a location entity ."
"Netherlands - Ronald de Boer ( 52nd minute ) "","" Van Gastel","TL;DR , Ronald de Boer is a person entity ."
"Netherlands - Ronald de Boer ( 52nd minute ) "","" Van Gastel","TL;DR , Van Gastel is a person entity ."
"Netherlands - Ronald de Boer ( 52nd minute ) "","" Van Gastel","TL;DR , ( 52nd minute ) "","" is not a named entity ."
"Netherlands - Ronald de Boer ( 52nd minute ) "","" Van Gastel","TL;DR , de Boer ( is not a named entity ."
"Netherlands - Ronald de Boer ( 52nd minute ) "","" Van Gastel","TL;DR , 52nd minute ) is not a named entity ."
"Netherlands - Ronald de Boer ( 52nd minute ) "","" Van Gastel","TL;DR , Netherlands - Ronald de Boer ( 52nd minute is not a named entity ."
"Netherlands - Ronald de Boer ( 52nd minute ) "","" Van Gastel","TL;DR , minute ) "","" Van Gastel is not a named entity ."
"Netherlands - Ronald de Boer ( 52nd minute ) "","" Van Gastel","TL;DR , Netherlands - Ronald is not a named entity ."
7. Marc Blume ( Germany ) 10.48,"TL;DR , Marc Blume is a person entity ."
7. Marc Blume ( Germany ) 10.48,"TL;DR , Germany is a location entity ."
7. Marc Blume ( Germany ) 10.48,"TL;DR , 7. Marc Blume ( Germany is not a named entity ."
7. Marc Blume ( Germany ) 10.48,"TL;DR , ( Germany is not a named entity ."
7. Marc Blume ( Germany ) 10.48,"TL;DR , ) 10.48 is not a named entity ."
7. Marc Blume ( Germany ) 10.48,"TL;DR , ( Germany ) is not a named entity ."
"9-0-49-1 "","" Muralitharan 10-0-41-2 "","" Jayasuriya 10-0-43-2 "","" Chandana","TL;DR , Muralitharan is a person entity ."
"9-0-49-1 "","" Muralitharan 10-0-41-2 "","" Jayasuriya 10-0-43-2 "","" Chandana","TL;DR , Jayasuriya is a person entity ."
"9-0-49-1 "","" Muralitharan 10-0-41-2 "","" Jayasuriya 10-0-43-2 "","" Chandana","TL;DR , Chandana is a person entity ."
"9-0-49-1 "","" Muralitharan 10-0-41-2 "","" Jayasuriya 10-0-43-2 "","" Chandana","TL;DR , 10-0-41-2 is not a named entity ."
"9-0-49-1 "","" Muralitharan 10-0-41-2 "","" Jayasuriya 10-0-43-2 "","" Chandana","TL;DR , "","" Jayasuriya 10-0-43-2 is not a named entity ."
"9-0-49-1 "","" Muralitharan 10-0-41-2 "","" Jayasuriya 10-0-43-2 "","" Chandana","TL;DR , Muralitharan 10-0-41-2 "","" Jayasuriya 10-0-43-2 "","" Chandana is not a named entity ."
"9-0-49-1 "","" Muralitharan 10-0-41-2 "","" Jayasuriya 10-0-43-2 "","" Chandana","TL;DR , 10-0-41-2 "","" Jayasuriya 10-0-43-2 "","" Chandana is not a named entity ."
"9-0-49-1 "","" Muralitharan 10-0-41-2 "","" Jayasuriya 10-0-43-2 "","" Chandana","TL;DR , 10-0-41-2 "","" Jayasuriya 10-0-43-2 "","" is not a named entity ."
"9-0-49-1 "","" Muralitharan 10-0-41-2 "","" Jayasuriya 10-0-43-2 "","" Chandana","TL;DR , "","" is not a named entity ."
"Glamorgan 22 points "","" Durham 4 .","TL;DR , Glamorgan is an organization entity ."
"Glamorgan 22 points "","" Durham 4 .","TL;DR , Durham is an organization entity ."
"Glamorgan 22 points "","" Durham 4 .","TL;DR , 22 points is not a named entity ."
"Glamorgan 22 points "","" Durham 4 .","TL;DR , Glamorgan 22 points "","" is not a named entity ."
"Glamorgan 22 points "","" Durham 4 .","TL;DR , Durham 4 is not a named entity ."
"Glamorgan 22 points "","" Durham 4 .","TL;DR , points "","" is not a named entity ."
"South Africa - Tries : Joost van der Westhuizen ( 2 ) "","" Andre Joubert .","TL;DR , South Africa is a location entity ."
"South Africa - Tries : Joost van der Westhuizen ( 2 ) "","" Andre Joubert .","TL;DR , Joost van der Westhuizen is a person entity ."
"South Africa - Tries : Joost van der Westhuizen ( 2 ) "","" Andre Joubert .","TL;DR , Andre Joubert is a person entity ."
"South Africa - Tries : Joost van der Westhuizen ( 2 ) "","" Andre Joubert .","TL;DR , "","" Andre is not a named entity ."
"South Africa - Tries : Joost van der Westhuizen ( 2 ) "","" Andre Joubert .","TL;DR , Westhuizen ( 2 ) "","" Andre Joubert is not a named entity ."
"South Africa - Tries : Joost van der Westhuizen ( 2 ) "","" Andre Joubert .","TL;DR , - Tries is not a named entity ."
"South Africa - Tries : Joost van der Westhuizen ( 2 ) "","" Andre Joubert .","TL;DR , ( 2 ) "","" is not a named entity ."
"South Africa - Tries : Joost van der Westhuizen ( 2 ) "","" Andre Joubert .","TL;DR , South Africa - Tries : Joost van der is not a named entity ."
"South Africa - Tries : Joost van der Westhuizen ( 2 ) "","" Andre Joubert .","TL;DR , ) "","" Andre Joubert . is not a named entity ."
"Wood "","" Loren Roberts "","" Steve Stricker "","" Brian Claar "","" Russ Cochran","TL;DR , Wood is a person entity ."
"Wood "","" Loren Roberts "","" Steve Stricker "","" Brian Claar "","" Russ Cochran","TL;DR , Loren Roberts is a person entity ."
"Wood "","" Loren Roberts "","" Steve Stricker "","" Brian Claar "","" Russ Cochran","TL;DR , Steve Stricker is a person entity ."
"Wood "","" Loren Roberts "","" Steve Stricker "","" Brian Claar "","" Russ Cochran","TL;DR , Brian Claar is a person entity ."
"Wood "","" Loren Roberts "","" Steve Stricker "","" Brian Claar "","" Russ Cochran","TL;DR , Russ Cochran is a person entity ."
"Wood "","" Loren Roberts "","" Steve Stricker "","" Brian Claar "","" Russ Cochran","TL;DR , "","" Loren Roberts "","" Steve Stricker "","" is not a named entity ."
"Wood "","" Loren Roberts "","" Steve Stricker "","" Brian Claar "","" Russ Cochran","TL;DR , Steve Stricker "","" Brian Claar is not a named entity ."
"Wood "","" Loren Roberts "","" Steve Stricker "","" Brian Claar "","" Russ Cochran","TL;DR , Roberts "","" Steve is not a named entity ."
"Wood "","" Loren Roberts "","" Steve Stricker "","" Brian Claar "","" Russ Cochran","TL;DR , "","" is not a named entity ."
"Wood "","" Loren Roberts "","" Steve Stricker "","" Brian Claar "","" Russ Cochran","TL;DR , Steve Stricker "","" Brian Claar "","" is not a named entity ."
"Wood "","" Loren Roberts "","" Steve Stricker "","" Brian Claar "","" Russ Cochran","TL;DR , "","" Steve Stricker "","" Brian Claar "","" is not a named entity ."
"Wood "","" Loren Roberts "","" Steve Stricker "","" Brian Claar "","" Russ Cochran","TL;DR , Claar "","" Russ Cochran is not a named entity ."
"Wood "","" Loren Roberts "","" Steve Stricker "","" Brian Claar "","" Russ Cochran","TL;DR , Roberts "","" Steve Stricker is not a named entity ."
"Wood "","" Loren Roberts "","" Steve Stricker "","" Brian Claar "","" Russ Cochran","TL;DR , Steve Stricker "","" Brian Claar "","" Russ Cochran is not a named entity ."
"Wood "","" Loren Roberts "","" Steve Stricker "","" Brian Claar "","" Russ Cochran","TL;DR , Roberts "","" Steve Stricker "","" Brian Claar is not a named entity ."
Airdrieonians 2 1 1 0 1 0 4,"TL;DR , Airdrieonians is an organization entity ."
Airdrieonians 2 1 1 0 1 0 4,"TL;DR , 0 is not a named entity ."
Airdrieonians 2 1 1 0 1 0 4,"TL;DR , 1 0 1 0 is not a named entity ."
Far East gold traders thumped foreheads in frustration at the market 's foot-dragging this week and forecast on Friday that next week would not be much better .,"TL;DR , Far East is a location entity ."
Far East gold traders thumped foreheads in frustration at the market 's foot-dragging this week and forecast on Friday that next week would not be much better .,"TL;DR , frustration at the market 's foot-dragging this week is not a named entity ."
Far East gold traders thumped foreheads in frustration at the market 's foot-dragging this week and forecast on Friday that next week would not be much better .,"TL;DR , 's foot-dragging this week and forecast is not a named entity ."
LONDON 1996-08-30,"TL;DR , LONDON is a location entity ."
LONDON 1996-08-30,"TL;DR , LONDON 1996-08-30 is not a named entity ."
LONDON 1996-08-30,"TL;DR , 1996-08-30 is not a named entity ."
